SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,CLV,ChargesRatio,ServiceCount,HasTechSupport,HasSecurityServices,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_1-2 years,TenureGroup_2-4 years,TenureGroup_4+ years,TenureGroup_6-12 months,ChargesCategory_Low,ChargesCategory_Medium
0,0,0,0.1023712383613841,0,0,-0.5219756496159262,-0.26225719995201097,-0.2534639218739019,-0.17286068153198555,-0.07219853455260174,0,1,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
0,1,1,-0.7117434584104956,1,0,0.3374778078243394,-0.5036347857749957,-0.5149200842942575,0.3634577943589208,-0.5030952969142092,0,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
0,1,1,-0.7931549280876836,0,0,-0.8090131942822701,-0.7498829245931361,-0.7780666014170788,1.9013697242180496,-0.07219853455260174,1,1,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True
0,1,0,-0.2639803751859618,1,1,0.2843841579438598,-0.17272239466719,-0.1704828728437638,-0.030425263949194932,0.7895949901706132,0,1,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,False
0,1,1,-1.2816237461508113,1,0,-0.6762790695810708,-0.9893737196161955,-0.9899536610040874,0.013252585746682186,-0.9339920592758166,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0,0,1,1.3642490183577978,1,1,0.48348534499565887,1.2710674769778725,1.2941985005135939,-0.13952258756467728,1.2204917525322205,1,1,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False
0,0,0,-1.2816237461508113,1,0,-1.497571466169742,-1.0002337364297182,-1.0008202269485102,0.013252585746682186,-1.364888821637424,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
0,1,0,0.30589991255435406,1,0,-0.27641751891870747,0.03500010874782714,-0.015497104020278412,0.8139067523153882,-0.07219853455260174,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
0,1,0,1.3235432835192036,1,1,-0.17023021915774814,0.6620728371601656,0.697086190032177,-0.3060171433737574,-0.07219853455260174,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True
0,0,0,1.1200146093262338,1,0,0.5183280527297236,1.1179083307653424,1.112430488352339,0.059035727953052355,1.2204917525322205,1,1,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False
1,0,0,-1.1188008067964355,1,0,-0.1669118660402181,-0.8826164634250809,-0.8780170554472955,-0.5993448372896724,0.35869822780900573,1,1,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0,1,1,-1.1188008067964355,1,1,-0.5153389433808665,-0.9068814706892347,-0.901067346844556,-0.908081122609789,-0.5030952969142092,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0,0,0,-1.2409180113122174,1,0,-0.46390447005915153,-0.9549288178036082,-0.9647739617348895,3.28200671347189,-0.5030952969142092,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0,1,1,-0.10115743583158582,1,0,0.08860132400959055,-0.13125687592464852,-0.11911365201558319,-0.2026326350650832,1.2204917525322205,1,1,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
