SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,CLV,ChargesRatio,ServiceCount,HasTechSupport,HasSecurityServices,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_1-2 years,TenureGroup_2-4 years,TenureGroup_4+ years,TenureGroup_6-12 months,ChargesCategory_Low,ChargesCategory_Medium
0,1,0,1,0,1,29.85,29.85,0,29.85,1.0,2,0,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,34,1,0,56.95,1889.5,0,1936.3000000000002,0.9758301916025408,4,0,1,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
0,0,0,2,1,1,53.85,108.15,1,107.7,1.0041782729805013,4,0,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0,0,0,45,0,0,42.3,1840.75,0,1903.4999999999998,0.9670344102968218,4,1,1,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0,0,0,2,1,1,70.7,151.65,1,141.4,1.0724893917963225,2,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,0,8,1,1,99.65,820.5,1,797.2,1.0292272955343702,6,0,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
0,0,1,22,1,1,89.1,1949.4,0,1960.1999999999998,0.9944903581267219,5,0,1,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,10,0,0,29.75,301.9,0,297.5,1.0147899159663865,2,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
0,1,0,28,1,1,104.8,3046.05,1,2934.4,1.0380486641221374,7,1,1,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
0,0,1,62,1,0,56.15,3487.95,0,3481.2999999999997,1.0019102059575447,4,0,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
0,1,1,13,1,1,49.95,587.45,0,649.35,0.9046739046739047,3,0,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
0,0,0,16,1,0,18.95,326.8,0,303.2,1.0778364116094987,1,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False
0,1,0,58,1,0,100.35,5681.1,0,5820.299999999999,0.9760837070254113,6,0,1,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False
0,0,0,49,1,1,103.7,5036.3,1,5081.3,0.9911439985830398,7,0,1,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0,0,0,25,1,1,105.5,2686.05,0,2637.5,1.0184075829383887,7,1,1,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
0,1,1,69,1,0,113.25,7895.15,0,7814.25,1.010352880954666,9,1,1,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False
0,0,0,52,1,0,20.65,1022.95,0,1073.8,0.9526448128143045,1,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False
0,0,1,71,1,0,106.7,7382.25,0,7575.7,0.9744644059294851,7,0,1,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
0,1,1,10,1,0,55.2,528.35,1,552.0,0.9571557971014493,4,1,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
0,0,0,21,1,1,90.05,1862.9,0,1891.05,0.9851140900557892,5,0,1,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
1,0,0,1,0,1,39.65,39.65,1,39.65,1.0,3,0,1,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
0,1,0,12,1,0,19.8,202.25,0,237.60000000000002,0.8512205387205386,1,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False
0,0,0,1,1,0,20.15,20.15,1,20.15,1.0,1,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
0,1,0,58,1,1,59.9,3505.1,0,3474.2,1.0088941339013298,5,1,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True
0,1,1,49,1,0,59.6,2970.3,0,2920.4,1.017086700451993,5,1,1,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
0,0,0,30,1,1,55.3,1530.6,0,1659.0,0.9226039783001808,4,0,1,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0,1,1,47,1,1,99.35,4749.15,1,4669.45,1.0170683913523006,6,0,1,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
0,1,1,1,0,0,30.2,30.2,1,30.2,1.0,2,0,1,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0,1,0,72,1,1,90.25,6369.45,0,6498.0,0.9802169898430286,9,1,1,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False
0,0,1,17,1,1,64.7,1093.1,1,1099.9,0.9938176197836165,4,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True
1,1,0,71,1,1,96.35,6766.95,0,6840.849999999999,0.9891972488798907,7,1,1,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
1,1,0,2,1,1,95.5,181.65,0,191.0,0.9510471204188482,5,0,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False
0,1,1,27,1,0,66.15,1874.45,0,1786.0500000000002,1.0494946949973405,6,1,1,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
0,0,0,1,1,0,20.2,20.2,0,20.2,1.0,1,0,0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,1,0,45.25,45.25,0,45.25,1.0,2,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,1,72,1,0,99.9,7251.7,0,7192.8,1.0081887442998554,7,1,1,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0,0,0,5,1,1,69.7,316.9,1,348.5,0.909325681492109,2,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0,0,0,46,1,1,74.8,3548.3,0,3440.7999999999997,1.0312427342478494,3,0,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
